ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Matrix Multiplication,,PREREQ
2,Matrix Transpose,,PREREQ
3,Eigenvalue Decomposition,1|2|5,PREREQ
4,Eigenvector,3,PREREQ
5,Symmetric Matrix,,PREREQ
6,Positive Semi-Definite Matrix,3|5,PREREQ
7,Singular Value Decomp (SVD),1|2|3|8,PREREQ
8,Matrix Rank,1|2,PREREQ
9,Dot Product,1,PREREQ
10,Cosine Similarity,9,PREREQ
11,Gradient Descent,,PREREQ
12,Backpropagation,11|13,PREREQ
13,Chain Rule (Calculus),,PREREQ
14,Automatic Differentiation,12|13,PREREQ
15,PyTorch Tensor,,PREREQ
16,PyTorch Autograd,14|15,PREREQ
17,Neural Network Layer,11|12|15,PREREQ
18,Softmax Function,9,PREREQ
19,Cross-Entropy Loss,18,PREREQ
20,Adam Optimizer,11,PREREQ
21,Graph (Undirected),,FOUND
22,Graph (Directed),21,FOUND
23,Node (Vertex),21,FOUND
24,Edge (Link),21|23,FOUND
25,Adjacency Matrix,21|23|24|1,FOUND
26,Node Degree,24|25,FOUND
27,In-Degree,22|26,FOUND
28,Out-Degree,22|26,FOUND
29,Degree Distribution,26,FOUND
30,Power-Law Degree Distribution,29,FOUND
31,Graph Path,23|24,FOUND
32,Shortest Path,31|88,FOUND
33,Graph Diameter,32,FOUND
34,Connected Component,31,FOUND
35,Strongly Connected Component,22|34,FOUND
36,Weakly Connected Component,22|34,FOUND
37,Bipartite Graph,21|24,FOUND
38,Heterogeneous Graph,23|24,FOUND
39,Multigraph,24,FOUND
40,Weighted Graph,24,FOUND
41,Attribute Graph,23|24,FOUND
42,Subgraph,21|23|24,FOUND
43,Ego Network,42|26,FOUND
44,Clique,42,FOUND
45,Cycle,31|24,FOUND
46,Tree (Graph Theory),21|34|45,FOUND
47,Spanning Tree,46,FOUND
48,Planar Graph,21,FOUND
49,Graph Isomorphism,21|25,FOUND
50,Graph Homomorphism,49,FOUND
51,Small-World Network,57|33|21|29,FOUND
52,Scale-Free Network,29|30|55,FOUND
53,Erdős–Rényi Random Graph,21|29,FOUND
54,Barabási–Albert Model,52|55,FOUND
55,Preferential Attachment,29|30,FOUND
56,Giant Component,34|53,FOUND
57,Transitivity,26|24,FOUND
58,Local Clustering Coefficient,26|44,ALGO
59,Betweenness Centrality,32|23,ALGO
60,Closeness Centrality,32|23,ALGO
61,Eigenvector Centrality,4|25|23,ALGO
62,PageRank,25|65|66|67,ALGO
63,Personalized PageRank,62|43,ALGO
64,HITS Algorithm,22|62|27|28,ALGO
65,Random Walk,25|31,ALGO
66,Stationary Distribution,65,ALGO
67,Power Iteration,65|3|25,ALGO
68,Teleportation (PageRank),62|65,ALGO
69,Community Detection,21|34|58,ALGO
70,Modularity (Network),69|58,ALGO
71,Louvain Algorithm,70|69,ALGO
72,Girvan-Newman Algorithm,59|69,ALGO
73,Spectral Clustering,4|143,ALGO
74,Normalized Cut,73|143,ALGO
75,Overlapping Community,69,ALGO
76,BigCLAM Model,69|75,ALGO
77,Network Motif,42|21,ALGO
78,Graphlet,77|42,ALGO
79,Graphlet Degree Vector,78|26,ALGO
80,Graph Kernel,78|42|50,ALGO
81,Weisfeiler-Lehman Kernel,80|49|25,ALGO
82,Label Propagation,25|23|26|107,ALGO
83,Belief Propagation,25|82,ALGO
84,Influence Maximization,85|86|60|87,ALGO
85,Linear Threshold Model,21|26,ALGO
86,Independent Cascade Model,21|26,ALGO
87,SIR Epidemic Model,21|29,ALGO
88,Breadth-First Search,31|34,ALGO
89,Depth-First Search,31|34,ALGO
90,Katz Similarity,25|32,ALGO
91,Node Embedding,21|9|10,EMB
92,Embedding Space,91|9,EMB
93,Encoder-Decoder Framework,91|17,EMB
94,Shallow Embedding,91|93,EMB
95,Matrix Factorization (Graph),91|1|7|25,EMB
96,DeepWalk,65|91|101,EMB
97,node2vec,96,EMB
98,Biased Random Walk,65|97,EMB
99,BFS Strategy (node2vec),88|98,EMB
100,DFS Strategy (node2vec),89|98,EMB
101,Skip-Gram Model,91|17,EMB
102,Negative Sampling,101|91,EMB
103,LINE Embedding,91|25|101,EMB
104,Transductive Learning,91,EMB
105,Inductive Learning,91,EMB
106,Structural Equivalence,91|49,EMB
107,Homophily,26|29|21,EMB
108,Graph Neural Network (GNN),21|17|12|25|91|20,GNN
109,Message Passing Neural Net,108|110|111|112,GNN
110,Message Function,108|17,GNN
111,Aggregation Function,108|17,GNN
112,Update Function,108|17,GNN
113,Graph Convolutional Network,109|141|144|25|142,GNN
114,GraphSAGE,109|113|105,GNN
115,Graph Attention Network (GAT),109|116|117,GNN
116,Attention Mechanism (Graph),17|9|18,GNN
117,Multi-Head Attention (Graph),116,GNN
118,Graph Isomorphism Network,109|119|152,GNN
119,Sum Aggregation,111,GNN
120,Mean Aggregation,111,GNN
121,Max Aggregation,111,GNN
122,Neighborhood Aggregation,109|26,GNN
123,K-Hop Neighborhood,26|124,GNN
124,Receptive Field (GNN),108|26,GNN
125,Layer Depth (GNN),108|124,GNN
126,Skip Connection (GNN),108|17,GNN
127,Residual Connection (GNN),126,GNN
128,Jumping Knowledge Network,126|125,GNN
129,Graph-Level Readout,108|130|131,GNN
130,Global Mean Pooling,120,GNN
131,Global Sum Pooling,119,GNN
132,DiffPool,129|113,GNN
133,MinCutPool,129|73,GNN
134,Node-Level Task,108|138,GNN
135,Edge-Level Task,108|137,GNN
136,Graph-Level Task,108|139,GNN
137,Link Prediction,108|91|25,GNN
138,Node Classification,108|82,GNN
139,Graph Classification,108|129,GNN
140,Graph Regression,139|132|133,GNN
141,Spectral Graph Convolution,143|3|145,GNN
142,Chebyshev Polynomial Conv,141|143,GNN
143,Graph Laplacian,25|4|3|6,GNN
144,Normalized Graph Laplacian,143|26,GNN
145,Spectral Domain (Graph),143|3,GNN
146,Spatial Domain (Graph),109|26,GNN
147,Virtual Node Augmentation,108|23,GNN
148,Virtual Edge Augmentation,108|24,GNN
149,Weisfeiler-Lehman (WL) Test,49|108|25,THEORY
150,1-WL Test,149,THEORY
151,k-WL Test,150,THEORY
152,GNN Expressiveness,108|149|150,THEORY
153,Graph Isomorphism Problem,49,THEORY
154,GNN Distinguishing Power,152|153,THEORY
155,Over-Smoothing,108|125,THEORY
156,Over-Squashing,108|124|155|33,THEORY
157,GNN Bottleneck,156|124,THEORY
158,Graph Equivariance,108|160|161,THEORY
159,Graph Invariance,158,THEORY
160,Permutation Invariance,108,THEORY
161,Permutation Equivariance,108,THEORY
162,Position-Aware GNN,108|170,THEORY
163,Identity-Aware GNN,108|152,THEORY
